Rotation_X, Rotation_Y, Rotation_Z, Translation_X, Translation_Y, Translation_Z
-0.005192120093852282,-0.005351513624191284,-0.0014710691757500172,-0.024413369596004486,0.02188623882830143,-0.019911712035536766
0.0009138438617810607,-0.0063227443024516106,0.004146181046962738,-0.023438094183802605,0.1370285004377365,-0.019417496398091316
-0.002095905365422368,0.003327464684844017,0.008059662766754627,0.007540600840002298,-0.0075085824355483055,-0.04091745987534523
0.005434822291135788,-0.011842403560876846,0.004867080599069595,0.0791633129119873,0.15424364805221558,0.09985490143299103
-0.009681278839707375,0.005784197244793177,0.004625207278877497,0.007349202875047922,0.10522229224443436,-0.018230505287647247
-0.0005390489823184907,0.0025403418112546206,-0.0036107259802520275,-0.03422950208187103,-0.19359707832336426,-0.21393859386444092
-0.00542474165558815,-0.00665747094899416,0.0017251776298508048,-0.13828949630260468,-0.15194140374660492,0.00036322796950116754
-0.0024175914004445076,-0.0038269113283604383,0.0026564185973256826,-0.026088984683156013,-0.0744713768362999,-0.04637619107961655
-0.0033998216968029737,-0.000899351027328521,0.002377073047682643,-0.06924930959939957,0.13160578906536102,0.11309389024972916
0.0012452153023332357,0.0016065064119175076,0.005998857319355011,-0.043261922895908356,-0.05450126528739929,0.030449306592345238
-0.004447403829544783,-0.0019375955453142524,-0.0006466443883255124,0.04781840741634369,-0.07119417935609818,-0.035037048161029816
0.008270575664937496,0.011121906340122223,-0.0026326514780521393,-0.08742037415504456,-0.04117540270090103,0.008110967464745045
0.000295702600851655,-0.0029653694946318865,0.002194989239796996,-0.009230897761881351,0.1022486761212349,0.04192317649722099
-0.004893615376204252,-0.0009423642768524587,0.0019691302441060543,-0.1510961800813675,-0.17992186546325684,0.1566266119480133
-0.001757292659021914,0.0028643272817134857,-0.003142430679872632,-0.10401300340890884,0.17144374549388885,0.05926218628883362
-0.0011087108869105577,0.0056342799216508865,-0.0031390038784593344,-0.12797538936138153,0.16168741881847382,0.14084511995315552
-0.0026626382023096085,-0.007820184342563152,0.00027277873596176505,0.06666233390569687,0.14496155083179474,0.06946202367544174
-0.008562007918953896,-0.0007385265198536217,0.0053425864316523075,-0.0022808683570474386,0.023889711126685143,-0.01981733739376068
-0.004235011525452137,0.0028109634295105934,0.006792167667299509,0.011771529912948608,-0.022462546825408936,0.033573150634765625
-0.0012054304825142026,0.0023681691382080317,-0.0029383916407823563,-0.04613765701651573,-0.06974619626998901,-0.10415948182344437
-0.0010915740858763456,-0.00765492906793952,-0.005922740790992975,0.07373858988285065,0.1134660467505455,-0.0038843348156660795
-0.000896067766007036,-0.004215346183627844,0.00044426650856621563,-0.022006429731845856,-0.06355355679988861,0.08958273380994797
0.0046931663528084755,-0.008398533798754215,-0.0012871779035776854,0.02990521490573883,-0.0141416285187006,-0.003288532141596079
0.0018501182785257697,-0.007589847780764103,0.0023770781699568033,0.07313530892133713,-0.10172643512487411,0.07262958586215973
0.0009774714708328247,-0.012623989954590797,0.0023257238790392876,-0.00956400390714407,0.055044397711753845,-0.059663545340299606
-0.003904951736330986,-0.000699913885910064,0.0009487258503213525,-0.11461658775806427,-0.07509147375822067,-0.025943292304873466
-0.004094017203897238,-0.004238822031766176,0.0020347172394394875,-0.017438525334000587,0.003140905871987343,0.03796202689409256
-0.001172478310763836,0.0005820970982313156,-0.0032802927307784557,-0.07974991202354431,0.08053834736347198,0.025745224207639694
-0.009663047268986702,0.003922214265912771,-0.005208185873925686,0.0528406947851181,0.11381308734416962,-0.01163629349321127
0.005989280994981527,0.0017265541246160865,0.000346331245964393,-0.020194903016090393,0.005694241262972355,0.050225015729665756
0.009705365635454655,-0.008322849869728088,-0.005358986556529999,0.03424987569451332,-0.01642230898141861,-0.042755287140607834
-0.0021144659258425236,0.0026611185166984797,-0.0030680212657898664,0.032708790153265,0.021456878632307053,0.0034285520669072866
0.0004430268600117415,-0.004064104985445738,0.0025942751672118902,0.08449471741914749,-0.15465427935123444,-0.1660793125629425
-0.0041207727044820786,0.006814057007431984,-0.004377073608338833,0.02747631072998047,0.006661221385002136,0.010700386017560959
0.006384114269167185,0.005710651632398367,0.0037679204251617193,-0.004199395887553692,0.017795447260141373,0.001918375608511269
0.004375450778752565,-0.013534757308661938,-0.0027135906275361776,-0.06620865315198898,0.05836411938071251,0.007518034428358078
-0.002068629488348961,0.00681087514385581,0.005968826822936535,0.009786899201571941,0.0263704601675272,-0.020390573889017105
-0.00140480138361454,3.31176670442801e-05,0.0003449116484262049,0.018385643139481544,0.008172000758349895,0.027381177991628647
0.004332836251705885,0.0021939349826425314,0.005350880790501833,-0.02448040060698986,-0.005197538062930107,0.0033381390385329723
-0.002840518718585372,-0.0044501302763819695,0.004389576148241758,-0.007468576543033123,0.0033427008893340826,0.025174478068947792
