Texture
1.4414523541927338,
1.4087671041488647,
1.3773570954799652,
1.3472168147563934,
1.3183271884918213,
1.290665715932846,
1.2642072141170502,
1.2389212101697922,
1.2147746980190277,
1.1917326599359512,
1.1697596311569214,
1.1488188803195953,
1.1288730055093765,
1.1098840832710266,
1.0918141156435013,
1.07462540268898,
1.0582809895277023,
1.042744219303131,
1.027979850769043,
1.0139529407024384,
1.000630259513855,
0.9879796952009201,
0.9759701788425446,
0.9645720571279526,
0.9537564218044281,
0.9434954822063446,
0.9337622672319412,
0.9245318174362183,
0.9157796204090118,
0.9074822068214417,
0.899616926908493,
0.8921623975038528,
0.8850977569818497,
0.8784034103155136,
0.8720605820417404,
0.8660510927438736,
0.8603576570749283,
0.8549638837575912,
0.849854052066803,
0.8450131118297577,
0.840427428483963,
0.8360832184553146,
0.8319679647684097,
0.8280692249536514,
0.8243754506111145,
0.8208756893873215,
0.8175590634346008,
0.814414769411087,
0.8114339411258698,
0.8086077123880386,
0.8059276640415192,
0.8033858239650726,
0.800974890589714,
0.7986877858638763,
0.7965175062417984,
0.794457346200943,
0.7925020158290863,
0.7906458526849747,
0.7888834178447723,
0.7872094959020615,
0.785619243979454,
0.7841083407402039,
0.7826721668243408,
0.7813068479299545,
0.7800084352493286,
0.7787734270095825,
0.7775981724262238,
0.7764796912670135,
0.7754148542881012,
0.774400532245636,
0.773434191942215,
0.7725133001804352,
0.7716353237628937,
0.7707980275154114,
0.7699992507696152,
0.7692369818687439,
0.7685095071792603,
0.767814889550209,
0.767151415348053,
0.7665177434682846,
0.7659123092889786,
0.7653336971998215,
0.7647804170846939,
0.7642515003681183,
0.7637454569339752,
0.763261467218399,
0.7627983391284943,
0.7623550295829773,
0.7619306445121765,
0.7615242898464203,
0.761135146021843,
0.760762169957161,
0.7604047656059265,
0.760062113404274,
0.7597333192825317,
0.759417787194252,
0.7591146230697632,
0.7588233053684235,
0.7585430145263672,
0.7582734525203705,
0.7580140978097916,
0.7577645778656006,
0.7575245201587677,
0.7572933286428452,
0.7570704817771912,
0.7568559795618057,
0.7566493004560471,
0.7564500719308853,
0.7562582194805145,
0.7560731470584869,
0.7558950036764145,
0.7557231187820435,
0.7555573433637619,
0.755397379398346,
0.7552430778741837,
0.7550941407680511,
0.7549501955509186,
0.754811242222786,
0.7546769827604294,
0.7545474171638489,
0.7544223219156265,
0.7543012499809265,
0.7541844248771667,
0.7540714740753174,
0.7539622485637665,
0.753856748342514,
0.7537547498941422,
0.7536560297012329,
0.7535605132579803,
0.7534681260585785,
0.7533787190914154,
0.7532921433448792,
0.7532084733247757,
0.7531272619962692,
0.7530486583709717,
0.7529724389314651,
0.7528986036777496,
0.7528269290924072,
0.7527574151754379,
0.7526899874210358,
0.7526244223117828,
0.7525607943534851,
0.7524990290403366,
0.7524389773607254,
0.7523806393146515,
0.752323791384697,
0.7522684335708618,
0.752214640378952,
0.7521622627973557,
0.7521112263202667,
0.7520614564418793,
0.7520128786563873,
0.7519654929637909,
0.751919150352478,
0.7518737763166428,
0.7518294453620911,
0.7517861574888229,
0.7517437636852264,
0.7517023384571075,
0.7516618072986603,
0.7516220957040787,
0.7515832036733627,
0.7515451312065125,
0.7515077292919159,
0.751471146941185,
0.7514352351427078,
0.7513999193906784,
0.7513651996850967,
0.7513310760259628,
0.7512974739074707,
0.7512643933296204,
0.7512318342924118,
0.7511994987726212,
0.7511672377586365,
0.7511352002620697,
0.7511033117771149,
0.7510716468095779,
0.751040130853653,
0.7510089129209518,
0.7509779930114746,
0.7509475946426392,
0.7509175688028336,
0.7508880645036697,
0.7508591562509537,
0.7508306950330734,
0.750802755355835,
0.7507754117250443,
0.7507486641407013,
0.7507223635911942,
0.7506965845823288,
0.7506713271141052,
0.7506465911865234,
0.7506223022937775,
0.7505984604358673,
0.7505752146244049,
0.7505522668361664,
0.7505299150943756,
0.7505079358816147,
0.7504862546920776,
